symbol,date,close
MMM,06/08,100.76
MMM,06/07,101.0
MMM,06/06,98.29
MMM,06/05,97.98
MMM,06/02,102.53
AXP,06/08,171.1
AXP,06/07,171.55
AXP,06/06,171.82
AXP,06/05,167.43
AXP,06/02,168.56
AMGN,06/08,220.76
AMGN,06/07,221.25
AMGN,06/06,221.22
AMGN,06/05,221.88
AMGN,06/02,218.07
AAPL,06/08,180.57
AAPL,06/07,177.82
AAPL,06/06,179.21
AAPL,06/05,179.58
AAPL,06/02,180.95
BA,06/08,218.09
BA,06/07,211.93
BA,06/06,207.29
BA,06/05,208.78
BA,06/02,213.32
CAT,06/08,234.33
CAT,06/07,235.55
CAT,06/06,226.68
CAT,06/05,222.47
CAT,06/02,226.63
CVX,06/08,159.23
CVX,06/07,159.83
CVX,06/06,155.79
CVX,06/05,155.51
CVX,06/02,156.26
CSCO,06/08,49.68
CSCO,06/07,49.78
CSCO,06/06,49.81
CSCO,06/05,50.21
CSCO,06/02,50.02
KO,06/08,60.36
KO,06/07,60.22
KO,06/06,60.31
KO,06/05,60.75
KO,06/02,61.16
DIS,06/08,92.53
DIS,06/07,92.52
DIS,06/06,92.16
DIS,06/05,91.0
DIS,06/02,90.77
DOW,06/08,52.78
DOW,06/07,53.87
DOW,06/06,52.59
DOW,06/05,51.5
DOW,06/02,51.61
GS,06/08,335.47
GS,06/07,335.75
GS,06/06,326.8
GS,06/05,321.81
GS,06/02,323.65
HD,06/08,301.14
HD,06/07,301.7
HD,06/06,296.0
HD,06/05,293.1
HD,06/02,295.94
HON,06/08,198.15
HON,06/07,198.39
HON,06/06,196.34
HON,06/05,197.18
HON,06/02,198.85
IBM,06/08,134.4
IBM,06/07,134.38
IBM,06/06,132.69
IBM,06/05,132.64
IBM,06/02,132.42
INTC,06/08,31.82
INTC,06/07,31.28
INTC,06/06,30.96
INTC,06/05,29.86
INTC,06/02,31.31
JNJ,06/08,160.31
JNJ,06/07,158.52
JNJ,06/06,158.18
JNJ,06/05,158.32
JNJ,06/02,156.97
JPM,06/08,140.72
JPM,06/07,140.69
JPM,06/06,139.34
JPM,06/05,139.09
JPM,06/02,140.47
MCD,06/08,285.72
MCD,06/07,281.9
MCD,06/06,284.54
MCD,06/05,288.43
MCD,06/02,289.91
MRK,06/08,110.34
MRK,06/07,108.61
MRK,06/06,110.01
MRK,06/05,113.11
MRK,06/02,112.52
MSFT,06/08,325.26
MSFT,06/07,323.38
MSFT,06/06,333.68
MSFT,06/05,335.94
MSFT,06/02,335.4
NKE,06/08,106.21
NKE,06/07,107.09
NKE,06/06,106.19
NKE,06/05,105.2
NKE,06/02,107.78
PG,06/08,146.43
PG,06/07,144.8
PG,06/06,144.49
PG,06/05,145.94
PG,06/02,146.52
CRM,06/08,209.54
CRM,06/07,205.73
CRM,06/06,212.85
CRM,06/05,209.86
CRM,06/02,213.03
TRV,06/08,174.9
TRV,06/07,175.78
TRV,06/06,174.95
TRV,06/05,174.37
TRV,06/02,175.13
UNH,06/08,490.32
UNH,06/07,482.13
UNH,06/06,487.57
UNH,06/05,498.19
UNH,06/02,499.58
VZ,06/08,35.42
VZ,06/07,35.26
VZ,06/06,34.7
VZ,06/05,34.46
VZ,06/02,34.58
V,06/08,223.1
V,06/07,225.27
V,06/06,228.22
V,06/05,226.77
V,06/02,228.79
WBA,06/08,31.85
WBA,06/07,31.93
WBA,06/06,31.53
WBA,06/05,31.25
WBA,06/02,31.19
WMT,06/08,152.13
WMT,06/07,150.0
WMT,06/06,149.78
WMT,06/05,149.8
WMT,06/02,148.82
